Item,Recipe,Power,Items,Buildings,Resources,Buildings Scaled,Resources Scaled,Bauxite,Nitrogen Gas,SAM,Limestone,Crude Oil,Caterium Ore,Coal,Raw Quartz,Sulfur,Water,Uranium,Copper Ore,Iron Ore
Iron Plate,Iron Plate,71408.4,81677.4,1055.9,33540.4,1075.3,34218.6,2443.0,1163.9,635.7,894.5,2913.4,864.2,203.0,1134.0,735.6,7707.6,169.0,6899.2,7777.4
Iron Plate,Alternate: Coated Iron Plate,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Iron Plate,Alternate: Steel Cast Plate,71410.7,81409.3,1045.7,33407.6,1074.3,34188.5,2443.0,1163.9,635.7,894.5,2928.9,864.2,203.0,1134.0,735.6,7709.8,169.0,6854.9,7671.2
Iron Rod,Iron Rod,71572.8,81866.0,1075.4,33654.4,1086.8,34267.6,2443.1,1165.0,635.7,894.7,2906.3,864.8,203.3,1134.4,736.6,7727.1,169.3,6941.2,7832.8
Iron Rod,Alternate: Steel Rod,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Iron Rod,Alternate: Aluminum Rod,71337.6,81421.6,1042.5,33414.2,1071.1,34322.4,2528.6,1163.5,635.7,894.4,2912.9,863.9,202.8,1133.8,735.1,7800.7,168.9,6861.2,7512.7
Iron Ingot,Iron Ingot,71354.8,81334.2,1045.5,33423.6,1071.2,34185.9,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.8,735.2,7718.2,168.9,6842.2,7691.8
Iron Ingot,Alternate: Pure Iron Ingot,71400.8,81318.8,1043.1,33405.5,1072.0,34182.6,2443.0,1163.9,635.7,894.5,2930.1,864.2,203.0,1134.0,735.5,7764.7,169.0,6842.2,7625.9
Iron Ingot,Alternate: Leached Iron ingot,71381.6,81309.5,1042.5,33383.1,1071.4,34207.3,2442.9,1163.7,635.7,894.4,2930.1,864.1,202.9,1133.9,749.7,7734.0,169.0,6842.2,7620.4
Iron Ingot,Alternate: Basic Iron Ingot,71390.9,81382.1,1043.7,33469.4,1072.6,34212.8,2443.0,1163.8,635.7,1008.6,2930.1,864.1,203.0,1133.9,735.4,7720.2,169.0,6842.2,7620.4
Iron Ingot,Alternate: Iron Alloy Ingot,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Rocket Fuel,Alternate: Nitro Rocket Fuel,71200.6,81427.5,1035.4,33644.7,1066.2,34519.4,2442.8,1183.6,635.7,894.2,2872.0,863.4,272.4,1133.4,874.0,7820.6,168.7,6860.7,7623.2
Rocket Fuel,Rocket Fuel,72205.6,81404.1,1060.3,32910.6,1100.6,33658.3,2443.5,1110.0,635.7,895.5,3030.4,867.4,8.0,1136.0,544.0,7575.9,170.3,6862.7,7631.1
Packaged Rocket Fuel,Packaged Rocket Fuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Empty Fluid Tank,Empty Fluid Tank,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Ionized Fuel,Alternate: Dark-Ion Fuel,71197.2,84804.7,1069.6,34629.4,1080.8,36621.8,2682.8,1293.3,1078.5,894.2,3105.5,863.3,265.0,940.6,859.2,7991.0,168.7,6861.3,7625.9
Ionized Fuel,Ionized Fuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Excited Photonic Matter,Excited Photonic Matter,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Dark Matter Crystal,Dark Matter Crystal,71736.3,82605.3,1042.8,34192.2,1074.8,36303.7,2443.2,1166.0,1375.3,894.9,2975.4,865.5,203.7,1134.8,737.7,7739.4,169.6,6861.3,7625.5
Dark Matter Crystal,Alternate: Dark Matter Trap,71366.4,81345.5,1043.3,33421.1,1071.9,34277.4,2442.9,1163.6,635.7,894.4,2974.1,864.0,202.9,1133.9,735.3,7718.9,168.9,6861.2,7625.2
Dark Matter Crystal,Alternate: Dark Matter Crystallization,75053.5,85082.5,1076.1,35346.4,1092.6,39405.1,2445.4,1187.1,3118.9,899.3,2115.7,878.7,210.6,1143.3,759.0,7923.1,175.1,6862.1,7627.9
Superposition Oscillator,Superposition Oscillator,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Neural-Quantum Processor,Neural-Quantum Processor,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
AI Expansion Server,AI Expansion Server,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Packaged Ionized Fuel,Packaged Ionized Fuel,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
